customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
0FF72725-4,332,3,217.63,2,3,3,8,Potential Loyalist
0FF74DE9-0,387,1,41.65,2,1,1,4,Lost
0FF76F58-E,101,2,156.47,3,2,3,8,Potential Loyalist
0FF79756-B,226,1,46.55,2,1,1,4,Lost
0FF82D49-8,80,2,169.74,4,2,3,9,Loyal
0FF837C4-6,103,6,340.91,3,4,4,11,Champions
0FF869F9-6,84,5,537.28,4,4,4,12,Champions
0FF89961-B,420,1,39.2,1,1,1,3,Lost
0FF8E1E0-1,161,3,252.69,3,3,4,10,Loyal
0FF92846-3,373,1,41.65,2,1,1,4,Lost
0FF92AA6-3,376,3,139.65,2,3,3,8,Potential Loyalist
0FF94743-9,23,15,929.6,4,4,4,12,Champions
0FF9618E-1,211,3,207.89,3,3,3,9,Loyal
0FF9642D-6,256,5,213.15,2,4,3,9,Loyal
0FF9A416-7,580,1,43.59,1,1,1,3,Lost
0FF9C57B-0,114,1,170.2,3,1,3,7,Potential Loyalist
0FF9E7F6-7,107,2,80.85,3,2,2,7,Potential Loyalist
0FFA014B-E,271,1,144.17,2,1,3,6,At Risk
0FFA2F82-9,188,1,41.65,3,1,1,5,At Risk
0FFA787B-E,93,10,762.77,3,4,4,11,Champions
0FFA8F3D-9,259,1,39.2,2,1,1,4,Lost
0FFA989D-3,7,3,140.65,4,3,3,10,Loyal
0FFB25B6-2,103,2,88.19999999999999,3,2,2,7,Potential Loyalist
0FFB8066-9,10,5,289.41999999999996,4,4,4,12,Champions
0FFC0B5B-7,86,3,212.49,4,3,3,10,Loyal
0FFC88B4-8,308,2,160.18,2,2,3,7,Potential Loyalist
0FFCDF53-6,481,1,46.55,1,1,1,3,Lost
0FFD0DF3-C,265,1,114.44,2,1,2,5,At Risk
0FFD2099-A,80,3,142.1,4,3,3,10,Loyal
0FFD34D9-7,52,1,49.0,4,1,1,6,At Risk
0FFD8B0C-B,122,3,285.65999999999997,3,3,4,10,Loyal
0FFDEC1B-9,44,6,558.38,4,4,4,12,Champions
0FFDFA9D-3,202,3,127.4,3,3,3,9,Loyal
0FFE1C37-9,250,1,221.08,2,1,3,6,At Risk
0FFE2669-7,111,2,104.43,3,2,2,7,Potential Loyalist
0FFE38E2-4,370,1,49.0,2,1,1,4,Lost
0FFEBE46-B,175,2,93.1,3,2,2,7,Potential Loyalist
0FFECB9C-7,99,2,80.85,3,2,2,7,Potential Loyalist
0FFEE0E0-4,276,2,184.35,2,2,3,7,Potential Loyalist
0FFF086F-5,723,1,111.9,1,1,2,4,Lost
0FFF4EF1-2,43,31,2170.2,4,4,4,12,Champions
0FFF87D3-8,282,4,353.32,2,4,4,10,Loyal
0FFFF44D-F,9,1,46.55,4,1,1,6,At Risk
0FFFFDC9-F,392,2,166.20999999999998,2,2,3,7,Potential Loyalist
1.00E+04,647,1,109.66,1,1,2,4,Lost
1.01E-02,482,1,36.75,1,1,1,3,Lost
1.03E+04,63,2,99.38,4,2,2,8,Potential Loyalist
1.04E+06,65,6,500.66,4,4,4,12,Champions
1.09E+02,570,1,43.94,1,1,1,3,Lost
1.15E+04,102,5,295.93,3,4,4,11,Champions
1.15E+05,105,2,95.55,3,2,2,7,Potential Loyalist
1.16E-01,186,2,161.45,3,2,3,8,Potential Loyalist
1.20E-03,16,1,49.0,4,1,1,6,At Risk
1.23E+05,101,3,174.65,3,3,3,9,Loyal
1.24E-03,354,1,41.65,2,1,1,4,Lost
1.25E+02,85,3,185.28,4,3,3,10,Loyal
1.27E+01,217,2,111.28999999999999,3,2,2,7,Potential Loyalist
1.27E-02,634,1,104.13,1,1,2,4,Lost
1.31E+03,453,1,49.0,1,1,1,3,Lost
1.31E-02,73,9,687.62,4,4,4,12,Champions
1.35E+05,100,3,225.36,3,3,4,10,Loyal
1.36E+01,177,2,264.58000000000004,3,2,4,9,Loyal
1.38E-03,729,1,125.6,1,1,3,5,At Risk
1.45E-03,439,2,98.13,1,2,2,5,At Risk
1.48E+04,503,2,123.5,1,2,3,6,At Risk
1.49E+03,713,1,49.0,1,1,1,3,Lost
1.49E-02,494,1,44.1,1,1,1,3,Lost
1.50E-03,2,5,261.69,4,4,4,12,Champions
1.56E+03,415,1,41.65,2,1,1,4,Lost
1.58E-02,327,3,137.2,2,3,3,8,Potential Loyalist
1.63E+03,229,4,254.29,2,4,4,10,Loyal
1.65E+03,112,3,213.09,3,3,3,9,Loyal
1.66E+04,459,2,90.65,1,2,2,5,At Risk
1.66E+06,30,1,43.41,4,1,1,6,At Risk
1.69E-01,645,1,70.71,1,1,2,4,Lost
1.71E-02,717,1,182.34,1,1,3,5,At Risk
1.72E+00,460,2,286.65999999999997,1,2,4,7,Potential Loyalist
1.73E-02,25,3,323.38,4,3,4,11,Champions
1.77E-03,171,2,164.71,3,2,3,8,Potential Loyalist
1.81E+04,93,1,124.07,3,1,3,7,Potential Loyalist
1.82E+06,482,1,49.0,1,1,1,3,Lost
1.85E-03,142,3,177.9,3,3,3,9,Loyal
1.86E+04,293,2,98.0,2,2,2,6,At Risk
1.86E-02,544,1,65.06,1,1,2,4,Lost
1.87E+01,171,2,248.22000000000003,3,2,4,9,Loyal
1.87E-01,70,6,323.5,4,4,4,12,Champions
1.88E+06,12,4,337.57,4,4,4,12,Champions
1.91E+02,376,2,119.4,2,2,2,6,At Risk
1.92E-01,21,4,183.75,4,4,3,11,Champions
1.93E+01,75,10,625.57,4,4,4,12,Champions
1.93E+03,121,1,56.1,3,1,2,6,At Risk
1.93E-02,208,3,284.1,3,3,4,10,Loyal
1.96E+01,8,61,4148.4,4,4,4,12,Champions
1.99E+03,565,1,49.0,1,1,1,3,Lost
1000380C-D,163,1,86.4,3,1,2,6,At Risk
10004767-5,82,2,184.23000000000002,4,2,3,9,Loyal
10013C45-E,361,2,171.07,2,2,3,7,Potential Loyalist
1001A7D6-B,187,2,176.06,3,2,3,8,Potential Loyalist
1001ADE0-7,13,13,804.41,4,4,4,12,Champions
1001EC80-E,400,1,44.1,2,1,1,4,Lost
1001FE20-F,31,1,36.75,4,1,1,6,At Risk
10025341-C,213,3,166.39999999999998,3,3,3,9,Loyal
1002DDA0-C,611,1,49.0,1,1,1,3,Lost
10038A9C-B,161,2,215.55,3,2,3,8,Potential Loyalist
1003C009-A,107,4,312.69,3,4,4,11,Champions
100476D0-E,293,1,62.04,2,1,2,5,At Risk
10047DDD-5,37,16,1251.7,4,4,4,12,Champions
1004A54A-8,65,4,244.62,4,4,4,12,Champions
1004CB01-7,395,2,203.55,2,2,3,7,Potential Loyalist
10056FF7-9,73,3,277.45,4,3,4,11,Champions
10057A73-7,352,3,260.21000000000004,2,3,4,9,Loyal
10057D0D-5,2,2,224.07,4,2,4,10,Loyal
10058C86-7,86,2,159.38,4,2,3,9,Loyal
1005BAC5-6,447,2,110.17,1,2,2,5,At Risk
1005D005-0,113,2,217.76,3,2,3,8,Potential Loyalist
100651D0-E,291,2,156.28,2,2,3,7,Potential Loyalist
1006579D-2,306,1,91.9,2,1,2,5,At Risk
10067D2F-B,44,5,263.63,4,4,4,12,Champions
1006AB7F-D,436,1,47.02,1,1,1,3,Lost
1006E0EB-6,221,1,49.0,2,1,1,4,Lost
100769EF-0,5,4,336.56,4,4,4,12,Champions
100771D7-6,26,3,159.82999999999998,4,3,3,10,Loyal
100790A4-6,516,2,88.2,1,2,2,5,At Risk
100794EF-0,526,2,190.07,1,2,3,6,At Risk
10079662-E,67,10,803.89,4,4,4,12,Champions
10079D67-5,146,3,159.97,3,3,3,9,Loyal
10079F70-4,78,3,207.82999999999998,4,3,3,10,Loyal
1007DD07-5,163,5,342.51,3,4,4,11,Champions
1007E996-2,6,18,1232.94,4,4,4,12,Champions
1007FAF3-D,517,1,79.98,1,1,2,4,Lost
1008022D-2,428,3,287.05,1,3,4,8,Potential Loyalist
10085895-9,269,1,60.57,2,1,2,5,At Risk
10085E0B-0,276,1,62.49,2,1,2,5,At Risk
10094B4B-E,421,2,140.0,1,2,3,6,At Risk
100967F4-F,159,2,229.41,3,2,4,9,Loyal
100976A6-4,718,1,89.9,1,1,2,4,Lost
1009CDC9-7,113,2,157.31,3,2,3,8,Potential Loyalist
1009D211-C,377,2,93.1,2,2,2,6,At Risk
100A197C-8,127,1,101.3,3,1,2,6,At Risk
100A8B32-8,16,11,937.28,4,4,4,12,Champions
100AACA6-3,102,6,570.48,3,4,4,11,Champions
100AF603-6,215,3,218.91,3,3,3,9,Loyal
100B63F9-3,244,2,208.37,2,2,3,7,Potential Loyalist
100C049F-A,91,7,552.57,4,4,4,12,Champions
100C2302-1,373,2,219.33,2,2,3,7,Potential Loyalist
100C2B05-6,330,3,285.28999999999996,2,3,4,9,Loyal
100C4314-F,693,1,100.09,1,1,2,4,Lost
100C4D55-6,43,3,468.28,4,3,4,11,Champions
100C60AF-4,29,4,495.1,4,4,4,12,Champions
100C6379-A,160,2,146.78,3,2,3,8,Potential Loyalist
100C6533-5,221,1,44.1,2,1,1,4,Lost
100C939A-4,221,4,237.88,2,4,4,10,Loyal
100CEE62-2,711,1,41.65,1,1,1,3,Lost
100CEF13-6,103,2,88.2,3,2,2,7,Potential Loyalist
100CFC70-9,639,1,75.48,1,1,2,4,Lost
100D4B74-8,88,5,265.38,4,4,4,12,Champions
100D6C43-2,670,1,46.55,1,1,1,3,Lost
100DDDDF-D,588,1,49.76,1,1,1,3,Lost
100E37F6-7,5,37,2325.73,4,4,4,12,Champions
100E43A6-F,92,1,41.65,4,1,1,6,At Risk
100E620A-3,164,2,167.59,3,2,3,8,Potential Loyalist
100E75F9-6,670,1,39.2,1,1,1,3,Lost
100E91CD-8,707,1,49.0,1,1,1,3,Lost
100EEC72-F,52,1,59.78,4,1,2,7,Potential Loyalist
100EFB2B-E,108,16,1007.3,3,4,4,11,Champions
100FCFD0-A,284,1,162.26,2,1,3,6,At Risk
10101CEA-E,450,1,36.75,1,1,1,3,Lost
10101D17-8,211,1,49.0,3,1,1,5,At Risk
101021AB-A,134,2,148.91,3,2,3,8,Potential Loyalist
10109407-C,702,1,49.0,1,1,1,3,Lost
101181E7-F,23,9,483.57,4,4,4,12,Champions
1011D01A-F,122,4,225.48000000000002,3,4,4,11,Champions
10122608-A,15,5,394.03999999999996,4,4,4,12,Champions
101231ED-7,4,4,315.15,4,4,4,12,Champions
10123BB1-0,106,1,41.65,3,1,1,5,At Risk
101299EF-0,146,4,265.58000000000004,3,4,4,11,Champions
1012F199-6,12,1,46.55,4,1,1,6,At Risk
1013538A-B,394,1,49.0,2,1,1,4,Lost
101375F1-D,438,1,195.85,1,1,3,5,At Risk
1013B463-3,4,4,362.21,4,4,4,12,Champions
10142F09-7,188,3,256.32,3,3,4,10,Loyal
10147857-E,50,1,44.1,4,1,1,6,At Risk
10147E6F-7,367,1,144.99,2,1,3,6,At Risk
10149F5A-6,70,2,162.34,4,2,3,9,Loyal
1014F9AE-1,25,2,98.0,4,2,2,8,Potential Loyalist
10150463-A,102,1,49.0,3,1,1,5,At Risk
10157FBD-9,255,1,49.0,2,1,1,4,Lost
1015CBA9-8,172,1,49.0,3,1,1,5,At Risk
1015F067-F,165,2,223.81,3,2,4,9,Loyal
1015FEA6-4,184,4,315.58,3,4,4,11,Champions
10163889-8,456,1,49.0,1,1,1,3,Lost
10163F04-0,173,2,88.2,3,2,2,7,Potential Loyalist
1016B530-6,346,4,183.75,2,4,3,9,Loyal
1017232D-E,246,2,106.22999999999999,2,2,2,6,At Risk
1017790E-A,10,2,98.0,4,2,2,8,Potential Loyalist
1017BF02-7,129,1,176.99,3,1,3,7,Potential Loyalist
1017D9B1-B,29,1,44.1,4,1,1,6,At Risk
1017EA7E-4,633,2,176.76,1,2,3,6,At Risk
10189B11-0,212,1,49.0,3,1,1,5,At Risk
1018B865-A,10,8,460.22,4,4,4,12,Champions
101985A3-5,82,1,169.8,4,1,3,8,Potential Loyalist
1019988A-2,463,1,216.55,1,1,3,5,At Risk
1019A51E-4,572,1,183.1,1,1,3,5,At Risk
1019C1C1-5,28,1,49.0,4,1,1,6,At Risk
1019CD49-D,24,14,877.77,4,4,4,12,Champions
1019D59D-7,643,1,49.0,1,1,1,3,Lost
101A48FF-7,336,2,171.44,2,2,3,7,Potential Loyalist
101A7943-6,28,1,57.42,4,1,2,7,Potential Loyalist
101AF6A0-B,259,2,166.37,2,2,3,7,Potential Loyalist
101B0C57-F,259,4,257.37,2,4,4,10,Loyal
101B14A7-1,265,4,206.3,2,4,3,9,Loyal
101B2106-6,349,2,98.0,2,2,2,6,At Risk
101B706D-1,619,1,46.55,1,1,1,3,Lost
101C09C7-4,555,2,84.1,1,2,2,5,At Risk
101C9C6E-5,113,13,986.59,3,4,4,11,Champions
101CD135-A,32,1,113.21,4,1,2,7,Potential Loyalist
101CE8E5-0,611,1,41.65,1,1,1,3,Lost
101D0853-E,310,9,548.37,2,4,4,10,Loyal
101D7A3D-E,58,4,438.86,4,4,4,12,Champions
101DA011-B,429,2,148.51999999999998,1,2,3,6,At Risk
101DC945-D,280,1,49.0,2,1,1,4,Lost
101EF344-A,513,2,141.88,1,2,3,6,At Risk
101F2549-2,365,3,134.75,2,3,3,8,Potential Loyalist
101F4774-8,172,1,41.65,3,1,1,5,At Risk
101F6B08-1,326,1,78.1,2,1,2,5,At Risk
101F89A7-5,318,1,49.0,2,1,1,4,Lost
101F8B70-9,119,3,223.4,3,3,4,10,Loyal
101F9019-D,58,2,133.26999999999998,4,2,3,9,Loyal
101F9053-C,220,4,188.65,3,4,3,10,Loyal
101FEDAE-E,125,1,95.99,3,1,2,6,At Risk
10200D82-0,578,1,49.0,1,1,1,3,Lost
10206F16-B,436,3,140.31,1,3,3,7,Potential Loyalist
10207FDB-1,260,1,99.82,2,1,2,5,At Risk
102092AE-F,210,2,99.35,3,2,2,7,Potential Loyalist
1020A3D2-8,685,1,54.99,1,1,2,4,Lost
1020CCCE-7,676,2,117.85,1,2,2,5,At Risk
1020F12F-1,719,1,50.01,1,1,1,3,Lost
1021025C-8,63,2,90.65,4,2,2,8,Potential Loyalist
10210A82-F,57,2,93.1,4,2,2,8,Potential Loyalist
10215C4B-D,468,1,154.63,1,1,3,5,At Risk
10218B5F-C,133,2,197.2,3,2,3,8,Potential Loyalist
1021C452-A,494,2,148.29000000000002,1,2,3,6,At Risk
1021D6EC-2,454,1,41.65,1,1,1,3,Lost
1021FAFA-9,58,8,775.46,4,4,4,12,Champions
10224AC3-0,601,1,41.65,1,1,1,3,Lost
1022A117-1,171,7,400.89,3,4,4,11,Champions
1022C205-0,147,3,117.95,3,3,2,8,Potential Loyalist
1022E622-A,542,1,124.15,1,1,3,5,At Risk
1022EA10-4,459,2,93.1,1,2,2,5,At Risk
1022EE89-6,622,1,46.55,1,1,1,3,Lost
10230B30-9,300,1,65.51,2,1,2,5,At Risk
10236BC4-6,511,1,49.0,1,1,1,3,Lost
1023B8E4-1,213,1,46.55,3,1,1,5,At Risk
1023E6A6-1,91,2,192.32,4,2,3,9,Loyal
1024AD15-2,523,1,66.57,1,1,2,4,Lost
1024BB11-4,441,1,39.2,1,1,1,3,Lost
10251AC0-A,707,1,49.0,1,1,1,3,Lost
10256C82-A,11,2,95.55,4,2,2,8,Potential Loyalist
102587BC-9,31,21,1537.04,4,4,4,12,Champions
1025AC95-9,138,1,74.66,3,1,2,6,At Risk
1025DB20-B,19,10,710.1999999999999,4,4,4,12,Champions
1025F2B0-B,37,12,670.72,4,4,4,12,Champions
10260FC0-6,564,1,39.2,1,1,1,3,Lost
102637E6-E,191,1,115.66,3,1,2,6,At Risk
10267EAF-E,161,2,208.95,3,2,3,8,Potential Loyalist
10269DC2-6,283,4,271.58,2,4,4,10,Loyal
1026A51C-0,162,2,247.13,3,2,4,9,Loyal
1026B6DC-A,448,1,49.0,1,1,1,3,Lost
1026DE64-E,105,1,46.55,3,1,1,5,At Risk
1026E676-1,284,1,49.0,2,1,1,4,Lost
1027557C-E,149,1,49.0,3,1,1,5,At Risk
1027A1F6-B,35,5,244.09,4,4,4,12,Champions
1027D12F-6,6,2,239.10000000000002,4,2,4,10,Loyal
1027FBF7-3,83,4,316.94,4,4,4,12,Champions
1028054F-1,278,2,98.0,2,2,2,6,At Risk
10283196-C,132,2,126.27,3,2,3,8,Potential Loyalist
10286768-7,171,1,49.0,3,1,1,5,At Risk
1028A42E-0,586,1,44.1,1,1,1,3,Lost
1028A686-8,21,6,397.87,4,4,4,12,Champions
1028BECB-1,315,2,94.66,2,2,2,6,At Risk
1028EB8C-E,375,3,373.37,2,3,4,9,Loyal
10291181-C,27,2,88.2,4,2,2,8,Potential Loyalist
102934B3-1,137,4,239.93,3,4,4,11,Champions
1029A419-2,112,5,395.96,3,4,4,11,Champions
1029D3AD-5,122,3,268.58,3,3,4,10,Loyal
1029D5CF-D,157,3,141.34,3,3,3,9,Loyal
1029DD83-B,386,1,81.68,2,1,2,5,At Risk
1029FA19-1,123,4,258.64,3,4,4,11,Champions
102A502A-C,291,2,103.1,2,2,2,6,At Risk
102AC732-1,62,1,49.0,4,1,1,6,At Risk
102B0EC1-4,429,1,112.76,1,1,2,4,Lost
102B2E53-4,210,5,396.56,3,4,4,11,Champions
102B4724-6,251,1,49.0,2,1,1,4,Lost
102B88FD-2,319,1,79.48,2,1,2,5,At Risk
102BF4AD-6,474,3,149.75,1,3,3,7,Potential Loyalist
102C249C-C,470,3,124.95,1,3,3,7,Potential Loyalist
102C3486-2,425,1,44.1,1,1,1,3,Lost
102C8EF2-7,2,14,937.75,4,4,4,12,Champions
102CFA72-C,61,3,172.01,4,3,3,10,Loyal
102D0831-9,352,2,158.39,2,2,3,7,Potential Loyalist
102D1A72-7,66,2,119.78,4,2,2,8,Potential Loyalist
102D379B-A,48,2,116.91,4,2,2,8,Potential Loyalist
102DC175-9,76,2,112.83,4,2,2,8,Potential Loyalist
102DCF2E-B,288,2,95.55,2,2,2,6,At Risk
102E01AF-A,43,1,46.55,4,1,1,6,At Risk
102E6DC4-2,234,2,93.07,2,2,2,6,At Risk
102E9614-B,66,30,2113.32,4,4,4,12,Champions
102EC5AF-1,339,2,109.17,2,2,2,6,At Risk
102EC8FC-F,281,1,114.67,2,1,2,5,At Risk
102EFE32-5,189,1,41.65,3,1,1,5,At Risk
102F2B98-A,693,1,41.65,1,1,1,3,Lost
102F6727-5,489,4,188.65,1,4,3,8,Potential Loyalist
102FBD0B-2,88,5,433.71000000000004,4,4,4,12,Champions
10300BC7-0,187,3,285.33000000000004,3,3,4,10,Loyal
1030E3F5-1,38,8,740.12,4,4,4,12,Champions
10310112-A,483,1,39.2,1,1,1,3,Lost
10312D16-A,71,2,98.0,4,2,2,8,Potential Loyalist
1031573F-1,249,1,41.65,2,1,1,4,Lost
10316417-1,166,10,716.76,3,4,4,11,Champions
103207A9-B,3,4,186.2,4,4,3,11,Champions
10328890-9,373,1,155.25,2,1,3,6,At Risk
10328A49-8,79,2,208.99,4,2,3,9,Loyal
103313FA-B,223,2,125.45,2,2,3,7,Potential Loyalist
103354B7-0,498,2,158.61,1,2,3,6,At Risk
1033C4BC-A,544,1,49.0,1,1,1,3,Lost
1033D1F1-3,24,5,351.43,4,4,4,12,Champions
10340353-6,242,1,49.0,2,1,1,4,Lost
10343DCC-B,145,3,338.74,3,3,4,10,Loyal
10345C7F-9,561,1,46.55,1,1,1,3,Lost
1034D05C-B,341,1,72.28,2,1,2,5,At Risk
1034D755-1,123,2,146.0,3,2,3,8,Potential Loyalist
1034FC23-7,228,1,120.76,2,1,2,5,At Risk
10356C4F-B,461,2,132.45,1,2,3,6,At Risk
10362078-C,22,4,361.46000000000004,4,4,4,12,Champions
103623FB-F,49,1,46.55,4,1,1,6,At Risk
1036CA81-0,50,2,134.05,4,2,3,9,Loyal
1036F421-E,483,1,129.89,1,1,3,5,At Risk
10372310-F,47,6,510.25,4,4,4,12,Champions
103754FC-E,265,5,343.81,2,4,4,10,Loyal
103758DA-7,170,2,92.02000000000001,3,2,2,7,Potential Loyalist
1037C4CC-C,52,3,321.89,4,3,4,11,Champions
10380E2D-9,113,2,161.89,3,2,3,8,Potential Loyalist
10381BD9-F,703,1,189.88,1,1,3,5,At Risk
10385208-9,188,2,83.30000000000001,3,2,2,7,Potential Loyalist
10386A1E-0,385,5,434.34000000000003,2,4,4,10,Loyal
10386CE0-6,424,2,277.01,1,2,4,7,Potential Loyalist
1039072E-F,171,2,184.04999999999998,3,2,3,8,Potential Loyalist
10390901-4,297,1,131.46,2,1,3,6,At Risk
103974F1-7,202,3,136.59,3,3,3,9,Loyal
1039D767-2,199,3,134.75,3,3,3,9,Loyal
103A0DF0-4,24,3,151.46,4,3,3,10,Loyal
103A50A8-3,47,2,170.01000000000002,4,2,3,9,Loyal
103A53F3-2,141,2,258.34000000000003,3,2,4,9,Loyal
103A7E52-7,1,6,278.90999999999997,4,4,4,12,Champions
103AADD4-3,385,1,44.86,2,1,1,4,Lost
103B26E8-3,544,1,36.75,1,1,1,3,Lost
103B3E4F-3,7,3,233.51999999999998,4,3,4,11,Champions
103B6F20-8,665,1,203.88,1,1,3,5,At Risk
103BBF98-5,262,2,120.89999999999999,2,2,2,6,At Risk
103C001B-0,360,1,44.1,2,1,1,4,Lost
103C128D-8,317,2,95.55,2,2,2,6,At Risk
103C1346-9,214,2,130.03,3,2,3,8,Potential Loyalist
103C45D7-F,51,10,675.23,4,4,4,12,Champions
103DBF47-8,722,1,49.0,1,1,1,3,Lost
103E0719-E,325,1,44.1,2,1,1,4,Lost
103E6E58-4,119,7,502.37,3,4,4,11,Champions
103ECD33-A,121,2,172.38,3,2,3,8,Potential Loyalist
103EE46E-7,22,3,139.67000000000002,4,3,3,10,Loyal
103EFD2C-E,20,5,361.5,4,4,4,12,Champions
103F0AFA-C,17,58,3992.48,4,4,4,12,Champions
103F56F5-4,21,2,157.8,4,2,3,9,Loyal
103F5DD1-B,38,1,59.02,4,1,2,7,Potential Loyalist
103FA93C-0,65,1,41.65,4,1,1,6,At Risk
103FBC3B-7,43,17,1152.93,4,4,4,12,Champions
10404A8F-D,100,2,159.43,3,2,3,8,Potential Loyalist
10411CD4-8,598,1,209.67,1,1,3,5,At Risk
104123DB-E,318,3,177.74,2,3,3,8,Potential Loyalist
10412BD8-C,21,2,122.29,4,2,2,8,Potential Loyalist
104136B4-3,655,1,67.57,1,1,2,4,Lost
1041488A-E,374,1,112.87,2,1,2,5,At Risk
10414C7A-4,298,4,212.41,2,4,3,9,Loyal
10416E93-D,295,1,49.0,2,1,1,4,Lost
1041D0D4-F,174,1,51.2,3,1,1,5,At Risk
1041D633-5,402,1,49.0,2,1,1,4,Lost
10429FED-7,546,1,138.89,1,1,3,5,At Risk
1042F0D0-0,639,1,175.09,1,1,3,5,At Risk
1043395F-F,138,4,274.31,3,4,4,11,Champions
10434A2B-6,600,1,49.8,1,1,1,3,Lost
104371D5-2,565,1,49.0,1,1,1,3,Lost
1043B5DE-C,43,2,219.95999999999998,4,2,3,9,Loyal
1043C6D7-F,17,1,139.24,4,1,3,8,Potential Loyalist
10440362-5,353,1,44.69,2,1,1,4,Lost
104419A9-5,251,4,193.55,2,4,3,9,Loyal
104452C0-2,389,6,501.19,2,4,4,10,Loyal
10446B9A-5,203,5,300.69,3,4,4,11,Champions
1044A888-B,242,2,177.37,2,2,3,7,Potential Loyalist
1044D93F-2,251,2,88.2,2,2,2,6,At Risk
1044F23E-3,53,2,93.1,4,2,2,8,Potential Loyalist
1044FCB5-8,96,2,90.65,3,2,2,7,Potential Loyalist
10456373-5,101,3,274.13,3,3,4,10,Loyal
10459743-0,6,4,390.51,4,4,4,12,Champions
1045ACCF-D,30,3,328.57,4,3,4,11,Champions
1045B832-7,240,1,49.0,2,1,1,4,Lost
1045B84D-E,269,1,105.05,2,1,2,5,At Risk
1045BC5D-E,200,1,192.42,3,1,3,7,Potential Loyalist
1045C7AF-E,357,1,70.79,2,1,2,5,At Risk
1045EFFA-A,660,1,92.02,1,1,2,4,Lost
104614F6-1,378,2,268.05,2,2,4,8,Potential Loyalist
104620FB-8,441,1,46.55,1,1,1,3,Lost
10466A6B-3,19,4,292.47,4,4,4,12,Champions
1047047B-B,176,2,93.1,3,2,2,7,Potential Loyalist
10488157-1,96,2,88.19999999999999,3,2,2,7,Potential Loyalist
10488695-5,175,1,53.62,3,1,1,5,At Risk
1048CFA0-F,215,1,57.44,3,1,2,6,At Risk
1048FC1F-5,201,1,46.41,3,1,1,5,At Risk
10491104-2,70,1,185.47,4,1,3,8,Potential Loyalist
10496F1F-8,309,1,44.1,2,1,1,4,Lost
10498DB3-D,496,1,39.2,1,1,1,3,Lost
10499AFF-D,115,4,249.93,3,4,4,11,Champions
1049B396-4,421,1,36.75,1,1,1,3,Lost
1049BD66-5,211,1,49.0,3,1,1,5,At Risk
1049C131-F,376,1,50.18,2,1,1,4,Lost
1049CFCF-A,93,3,258.09,3,3,4,10,Loyal
104A4E31-C,232,1,134.15,2,1,3,6,At Risk
104A7485-8,43,3,248.47,4,3,4,11,Champions
104A9AD5-1,34,3,153.54,4,3,3,10,Loyal
104A9ADC-6,111,1,168.44,3,1,3,7,Potential Loyalist
104AF9E4-B,608,1,46.34,1,1,1,3,Lost
104AFBF9-B,722,1,185.66,1,1,3,5,At Risk
104B17EC-5,189,3,176.23,3,3,3,9,Loyal
104B7CB2-D,288,3,139.65,2,3,3,8,Potential Loyalist
104B8972-D,150,2,101.03999999999999,3,2,2,7,Potential Loyalist
104BE903-4,194,5,276.76,3,4,4,11,Champions
104C500D-4,168,1,49.0,3,1,1,5,At Risk
104CB650-6,641,1,49.0,1,1,1,3,Lost
104CEBB4-E,25,1,122.35,4,1,2,7,Potential Loyalist
104D5777-7,620,2,197.04,1,2,3,6,At Risk
104D5B14-2,222,3,146.36,2,3,3,8,Potential Loyalist
104D64D2-8,617,2,98.0,1,2,2,5,At Risk
104D6DE7-3,229,5,487.07,2,4,4,10,Loyal
104E1D33-6,64,3,282.34,4,3,4,11,Champions
104EBA68-7,576,1,44.1,1,1,1,3,Lost
104EC2EA-E,94,5,280.11,3,4,4,11,Champions
104EDDF7-1,16,2,171.76,4,2,3,9,Loyal
104F323D-8,2,20,1846.05,4,4,4,12,Champions
104F5F3C-2,631,2,108.85999999999999,1,2,2,5,At Risk
104FA7AA-0,203,3,218.75,3,3,3,9,Loyal
10502501-B,164,1,76.72,3,1,2,6,At Risk
105037D1-4,118,1,49.0,3,1,1,5,At Risk
105046D5-C,635,1,67.89,1,1,2,4,Lost
10505A2A-D,153,4,229.72,3,4,4,11,Champions
10514BF7-5,125,3,174.98,3,3,3,9,Loyal
105174C8-F,232,2,115.66,2,2,2,6,At Risk
1051A37E-3,25,35,2551.03,4,4,4,12,Champions
1051AB70-5,45,1,143.0,4,1,3,8,Potential Loyalist
1051BE16-6,537,1,56.33,1,1,2,4,Lost
1051CB56-1,187,2,85.75,3,2,2,7,Potential Loyalist
10523818-8,674,1,49.0,1,1,1,3,Lost
10528165-4,341,2,296.57,2,2,4,8,Potential Loyalist
105284CF-7,167,2,93.1,3,2,2,7,Potential Loyalist
1052DAEC-F,554,1,79.21,1,1,2,4,Lost
1052E19E-7,534,1,49.0,1,1,1,3,Lost
1052F054-0,97,1,46.55,3,1,1,5,At Risk
10531D35-B,226,1,46.55,2,1,1,4,Lost
10533E4C-5,15,2,113.16,4,2,2,8,Potential Loyalist
1053ADBA-2,91,2,168.74,4,2,3,9,Loyal
1053B78C-B,267,1,46.55,2,1,1,4,Lost
1053CD66-A,204,1,44.1,3,1,1,5,At Risk
10543C3D-C,78,1,44.1,4,1,1,6,At Risk
10544BA1-B,406,1,49.0,2,1,1,4,Lost
10545B2D-8,316,1,44.1,2,1,1,4,Lost
1054B1CA-9,133,12,947.51,3,4,4,11,Champions
